Key,schinese,tchinese

barbedWireSpindle,铁丝网锭子 (3m),鐵絲網錠子 (3m)
barbedWireSpindleDesc,用铁制成的铁丝网可以减缓敌人的速度，使他们更容易对付。按滑鼠右键放置。\n\n用铁修复。,用鐵製成的鐵絲網可以減緩敵人的速度，使他們更容易對付。按滑鼠右鍵放置。\n\n用鐵修復。
barbedWireSpindle1m,铁丝网纺锤 (1m),鐵絲網紡錘 (1m)
barbedWireSpindle1mDesc,用铁制成的铁丝网可以减缓敌人的速度，使他们更容易对付。按滑鼠右键放置。\n\n用铁修复。,用鐵製成的鐵絲網可以減緩敵人的速度，使他們更容易對付。按滑鼠右鍵放置。\n\n用鐵修復。
barbedWireSpindleDiagonal1m,铁丝网主轴（1米/对角线）,鐵絲網主軸（1公尺/對角線）
barbedWireSpindleDiagonal1mDesc,用铁制成的铁丝网可以减缓敌人的速度，使他们更容易对付。按滑鼠右键放置。\n\n用铁修复。,用鐵製成的鐵絲網可以減緩敵人的速度，使他們更容易對付。按滑鼠右鍵放置。\n\n用鐵修復。
oldCash,旧美元钞票,舊美元鈔票

meleeToolAxeT1IronFireaxeDesc,铁製消防斧很适合收穫木材。\n\n用[D3CE1D]锻铁[-]修復。\n报废可以得到生铁。,鐵製消防斧很適合收穫木材。\n\n用[D3CE1D]鍛鐵[-]修復。\n報廢可以得到生鐵。
meleeToolAxeT2SteelAxeDesc,钢斧具有耐用的刀刃，非常适合采伐木材。\n\n使用 [D3CE1D]钢制工具零件[-]进行修复。\n将废料转化为钢制工具零件。,鋼斧具有耐用的刀刃，非常適合採伐木材。\n\n使用 [D3CE1D]鋼製工具零件[-]進行修復。\n將廢料轉化為鋼製工具零件。
meleeToolAxeT3ChainsawDesc,使用这把以汽油为燃料的强力电锯，比保罗·班扬 (Paul Bunyan) 更快地砍倒最大的树木或僵尸。\n\n使用 [D3CE1D] 电动工具零件 [-] 进行修复。\n将废料转化为电动工具零件。,使用這把以汽油為燃料的強力電鋸，比保羅·班揚 (Paul Bunyan) 更快地砍倒最大的樹木或僵屍。\n\n使用 [D3CE1D] 電動工具零件 [-] 進行修復。\n將廢料轉化為電動工具零件。
meleeToolPickT1IronPickaxeDesc,铁镐非常适合用来砸碎石头和采集矿物。\n\n用[D3CE1D]锻铁[-]进行修复。\n将废料转化为铁。,鐵鎬非常適合用來砸碎石頭和採集礦物。\n\n用[D3CE1D]鍛鐵[-]進行修復。\n將廢料轉化為鐵。
meleeToolPickT2SteelPickaxeDesc,钢镐最适合用来破石和采集矿物。\n\n用 [D3CE1D]钢制工具零件[-]进行修复。\n将废料转化为钢制工具零件。,鋼鎬最適合用來破石和採集礦物。\n\n用 [D3CE1D]鋼製工具零件[-]進行修復。\n將廢料轉化為鋼製工具零件。
meleeToolPickT3AugerDesc,拿出你的螺旋钻，当每个矿工看到你使用这把性感的气动螺旋钻时，你会羡慕不已。\n\n用 [D3CE1D] 电动工具零件 [-] 进行修复。\n将废料转化为电动工具零件。,拿出你的螺旋鑽，當每個礦工看到你使用這把性感的氣動螺旋鑽時，你會羨慕不已。\n\n用 [D3CE1D] 電動工具零件 [-] 進行修復。\n將廢料轉化為電動工具零件。
meleeToolRepairT1ClawHammerDesc,羊角锤非常适合修复和升级基地墙壁，而且作为武器也不错。\n\n使用 [D3CE1D]锻铁[-]进行修复。\n废料变铁。,羊角錘非常適合修復和升級基地牆壁，而且作為武器也不錯。\n\n使用 [D3CE1D]鍛鐵[-]進行修復。\n廢料變鐵。
meleeToolRepairT3NailgunDesc,射钉枪是修复和升级基座墙壁的最佳工具，如果你有钉子的话，它还是一件不错的武器。\n\n使用 [D3CE1D]钢制工具零件[-]进行修复。\n废料转化为机械零件。,射釘槍是修復和升級基座牆壁的最佳工具，如果你有釘子的話，它還是一件不錯的武器。\n\n使用 [D3CE1D]鋼製工具零件[-]進行修復。\n廢料轉化為機械零件。
meleeToolSalvageT1WrenchDesc,非常适合拆卸汽车、空调等机械设备。\n\n用[D3CE1D]锻铁[-]修复。\n废料变铁。,非常適合拆卸汽車、空調等機械設備。\n\n用[D3CE1D]鍛鐵[-]修復。\n廢料變鐵。
meleeToolSalvageT2RatchetDesc,非常适合拆卸汽车、空调等机械设备。\n\n用[D3CE1D]锻铁[-]进行修复。\n将废料转化为钢制工具零件。,非常適合拆卸汽車、空調等機械設備。\n\n用[D3CE1D]鍛鐵[-]進行修復。\n將廢料轉化為鋼製工具零件。
meleeToolSalvageT3ImpactDriverDesc,非常适合拆卸汽车、空调等机械设备。\n\n使用 [D3CE1D]钢制工具零件[-]进行修理。\n将废料转化为电机工具零件。,非常適合拆卸汽車、空調等機械設備。\n\n使用 [D3CE1D]鋼製工具零件[-]進行修理。\n將廢料轉化為電機工具零件。
meleeToolShovelT1IronShovelDesc,铁铲非常适合挖掘泥土、沙子或雪。\n\n用[D3CE1D]锻铁[-]修复。\n废料变铁。,鐵鏟非常適合挖掘泥土、沙子或雪。\n\n用[D3CE1D]鍛鐵[-]修復。\n廢料變鐵。
meleeToolShovelT2SteelShovelDesc,钢铲非常耐用，是挖掘泥土、沙子或积雪的理想工具。\n\n使用 [D3CE1D]钢制工具零件[-]进行修复。\n将废料转化为钢制工具零件。,鋼鏟非常耐用，是挖掘泥土、沙子或積雪的理想工具。\n\n使用 [D3CE1D]鋼製工具零件[-]進行修復。\n將廢料轉化為鋼製工具零件。
meleeWpnBatonT2StunBatonDesc,滋滋！\n\n用 [D3CE1D]电击棒零件[-] 修复。\n报废可得电击棒零件。,滋滋！\n\n用 [D3CE1D]電擊棒零件[-] 修復。\n報廢可得致暈棍部件。
meleeWpnBladeT1HuntingKnifeDesc,非常适合砍杀僵尸和剖开动物的肚子以获取肉。\n普通攻击会造成 1 个流血伤口，蓄力攻击至少会造成 2 个流血伤口。\n用 [D3CE1D]锻铁[-]进行修复。\n废料变铁。,非常適合砍殺僵屍和剖開動物的肚子以獲取肉。\n普通攻擊會造成 1 個流血傷口，蓄力攻擊至少會造成 2 個流血傷口。\n用 [D3CE1D]鍛鐵[-]進行修復。\n廢料變鐵。
